fiscalDateEnding,reportedEPS,Ticker
2024-06-30,11.81,MSFT
2023-06-30,9.81,MSFT
2022-06-30,9.2,MSFT
2021-06-30,7.97,MSFT
2020-06-30,5.75,MSFT
2019-06-30,4.75,MSFT
2018-06-30,3.88,MSFT
2017-06-30,3.31,MSFT
2016-06-30,2.76,MSFT
2015-06-30,2.5,MSFT
2014-06-30,2.63,MSFT
2013-06-30,2.67,MSFT
2012-06-30,2.73,MSFT
2011-06-30,2.69,MSFT
2010-06-30,2.1,MSFT
2009-06-30,1.7,MSFT
2008-06-30,1.88,MSFT
2007-06-30,1.49,MSFT
2006-06-30,1.27,MSFT
2005-06-30,1.3,MSFT
2004-06-30,1.26,MSFT
2003-06-30,1.05,MSFT
2002-06-30,0.93,MSFT
2001-06-30,0.91,MSFT
2000-06-30,0.87,MSFT
1999-06-30,0.71,MSFT
1998-06-30,0.46,MSFT
1997-06-30,0.33,MSFT
1996-06-30,0.215,MSFT
