fiscalDateEnding,reportedEPS,Ticker
2024-06-30,3.78,GOOGL
2023-12-31,5.8,GOOGL
2022-12-31,4.55,GOOGL
2021-12-31,5.6,GOOGL
2020-12-31,2.9435,GOOGL
2019-12-31,2.459,GOOGL
2018-12-31,2.185,GOOGL
2017-12-31,1.6005,GOOGL
2016-12-31,1.717,GOOGL
2015-12-31,1.479,GOOGL
2014-12-31,1.279,GOOGL
2013-12-31,1.0975,GOOGL
2012-12-31,0.9955,GOOGL
2011-12-31,0.901,GOOGL
2010-12-31,0.7405,GOOGL
2009-12-31,0.5805,GOOGL
2008-12-31,0.4875,GOOGL
2007-12-31,0.39,GOOGL
2006-12-31,0.265,GOOGL
2005-12-31,0.143,GOOGL
2004-12-31,0.0405,GOOGL
