fiscalDateEnding,reportedEPS,Ticker
2024-06-30,5.11,AAPL
2023-09-30,6.12,AAPL
2022-09-30,6.11,AAPL
2021-09-30,5.62,AAPL
2020-09-30,3.27,AAPL
2019-09-30,2.98,AAPL
2018-09-30,2.97,AAPL
2017-09-30,2.3,AAPL
2016-09-30,2.0675,AAPL
2015-09-30,2.3,AAPL
2014-09-30,1.6075,AAPL
2013-09-30,1.415,AAPL
2012-09-30,1.5775,AAPL
2011-09-30,0.9875,AAPL
2010-09-30,0.54,AAPL
2009-09-30,0.2225,AAPL
2008-09-30,0.19,AAPL
2007-09-30,0.14,AAPL
2006-09-30,0.08,AAPL
2005-09-30,0.04,AAPL
2004-09-30,0.05,AAPL
2003-09-30,0.0112,AAPL
2002-09-30,0.0198,AAPL
2001-09-30,0.0067,AAPL
2000-09-30,0.04,AAPL
1999-09-30,0.05,AAPL
1998-09-30,0.04,AAPL
1997-09-30,-0.1114,AAPL
1996-09-30,-0.1082,AAPL
